Time128Hz,Epoch,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,EventId,ID_Chunk
,,118.33105202043953,118.06170942902955,118.486022026077,119.1021922117128,117.63370807368759,118.04695439584862,119.19075051562352,117.62264179880404,117.76653850334954,117.74439892737114,117.15036831771373,118.66682036598738,118.27571361980475,118.77381543516798,,
,,547.6782288220508,546.6050138268342,548.4434508756424,551.3174575424241,544.7753391373285,546.5736094050703,551.7494722005089,544.4732143076601,545.1982651650117,544.9408246322921,542.4017294486376,549.2618047557683,547.3999546821733,549.7459460488859,,
,,880.2433273209205,878.880036143331,881.6586552780906,886.1969709973254,876.8355523038188,879.0148123341734,886.8917489139083,875.2783375138885,876.732672864381,875.7990811758848,872.3463170943589,882.6266587887236,879.740256215829,883.8841879291174,,
,,212.44188473149381,212.39420573873815,213.1019671003403,213.92068277135112,214.68474838358662,212.5963106084064,213.54928241439228,211.55363030181812,212.77044134522043,211.545569849676,211.95178544988295,212.227537921085,212.37308163591942,214.67390390376278,,
,,-1214.1737607630002,-1212.6679885064755,-1216.3761041335913,-1222.280800204625,-1205.4912437324888,-1214.044983275478,-1225.6997683534023,-1207.1301435462399,-1207.7664529345063,-1207.1156589170873,-1200.8956881282938,-1218.5266806485565,-1212.9594662483923,-1216.3147440421956,,
,,-1869.4909480805184,-1867.4979366127836,-1874.6655016240143,-1881.4535250236277,-1863.5030312769327,-1871.8271388509024,-1886.999657635594,-1859.608282481202,-1862.8486170325623,-1859.0493528487052,-1851.9865149398909,-1873.1379945953584,-1867.5994391211236,-1875.2500727647957,,
,,-1110.577870398837,-1108.4119399664246,-1114.8395721953154,-1117.0979216728877,-1113.3371471118674,-1111.7247161498265,-1118.5276757481815,-1105.2079258427057,-1109.7884029785462,-1106.3286379443146,-1103.9118448016206,-1109.267681633787,-1109.9265700496742,-1116.3193868133264,,
,,47.69855705745795,49.33715963063233,49.58730694284657,47.60442639115307,41.1059628009868,53.983081379909876,55.92121346511216,49.20906828501869,46.018899607035095,44.073239367769304,41.82464973269471,50.08396211492723,46.773993174948885,44.34286214776937,,
,,596.0869850840212,595.6782463806964,603.7481465214822,598.0339874665103,591.829879697593,606.8916595341296,611.7772525808484,598.7395651691239,598.7877029578723,592.7335250400392,589.3653211962271,594.7806105330571,595.3578643887389,593.7857956909932,,
,,651.096656863704,649.4125285068088,656.7755633627623,653.9658682223935,650.3501336241211,656.1875065114693,661.5883323474839,652.505262335885,655.4078515213592,652.3844519033514,650.7144817412416,648.9851148720481,651.114602461304,648.5360512478077,,
