Time128Hz,Epoch,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,EventId,EventDate,EventDuration,ID_Chunk_Number,ID_Chunk
14.2109375,56,4187.3076171875,4172.1796875,4180.6411132813,4190.384765625,4094.6154785156,4104.2309570313,4073.58984375,4114.1025390625,4106.41015625,4088.3332519531,4049.3588867188,4139.8715820313,4087.1794433594,4113.4614257813,33025,0.0,0.0,1.0,1.0
14.21875,56,4151.5385742188,4164.2309570313,4150.5126953125,4179.7436523438,4092.5642089844,4105.7690429688,4063.9743652344,4104.7436523438,4088.3332519531,4073.7180175781,4031.794921875,4119.615234375,4073.8461914063,4101.1538085938,33025,0.0,0.0,1.0,1.0
14.2265625,56,4123.4614257813,4156.2822265625,4127.1796875,4170.6411132813,4093.9743652344,4108.4614257813,4065.6411132813,4109.1025390625,4096.2822265625,4074.2307128906,4023.0769042969,4122.1796875,4072.8205566406,4090.5129394531,33025,0.0,0.0,1.0,1.0
14.234375,56,4125.2563476563,4156.2822265625,4132.1796875,4170.7690429688,4100.2563476563,4093.9743652344,4057.1794433594,4106.794921875,4099.2309570313,4079.3588867188,4029.2307128906,4128.9741210938,4078.7180175781,4083.58984375,33025,0.0,0.0,1.0,1.0
14.2421875,56,4125.384765625,4148.58984375,4137.9487304688,4171.794921875,4106.2822265625,4092.5642089844,4050.0,4089.4870605469,4082.5642089844,4066.41015625,4026.41015625,4116.41015625,4071.5385742188,4070.0,33025,0.0,0.0,1.0,1.0
14.25,57,4117.0512695313,4138.205078125,4133.7177734375,4164.8715820313,4104.7436523438,4108.0771484375,4056.5385742188,4078.7180175781,4069.4870605469,4048.3332519531,4007.0512695313,4101.5385742188,4057.8205566406,4061.41015625,33025,0.0,0.0,1.0,1.0
14.2578125,57,4124.615234375,4146.41015625,4128.7177734375,4161.0258789063,4097.9487304688,4104.7436523438,4066.0256347656,4085.6411132813,4071.9230957031,4045.0,4004.4870605469,4105.2563476563,4059.1025390625,4073.58984375,33025,0.0,0.0,1.0,1.0
14.265625,57,4131.41015625,4149.8715820313,4125.1284179688,4160.5126953125,4094.6154785156,4096.41015625,4070.5129394531,4092.0512695313,4074.2307128906,4045.2563476563,4014.4870605469,4110.1284179688,4063.3332519531,4077.1794433594,33025,0.0,0.0,1.0,1.0
14.2734375,57,4122.1796875,4139.8715820313,4124.615234375,4151.5385742188,4091.6667480469,4107.5639648438,4081.794921875,4091.5385742188,4074.4870605469,4042.8205566406,4010.0,4106.1538085938,4057.9487304688,4060.5129394531,33025,0.0,0.0,1.0,1.0
14.28125,57,4112.6923828125,4131.9228515625,4119.2309570313,4140.7690429688,4086.1538085938,4113.9741210938,4091.794921875,4091.6667480469,4078.3332519531,4044.8718261719,4001.6667480469,4102.1796875,4058.0769042969,4054.4870605469,33025,0.0,0.0,1.0,1.0
14.2890625,57,4108.7177734375,4123.8461914063,4105.8974609375,4137.5639648438,4085.0,4106.41015625,4081.1538085938,4085.7692871094,4073.3332519531,4042.5642089844,3996.794921875,4093.4614257813,4058.0769042969,4059.2307128906,33025,0.0,0.0,1.0,1.0
14.296875,57,4107.4360351563,4126.1538085938,4106.5385742188,4136.41015625,4088.0769042969,4102.4360351563,4061.0256347656,4075.3845214844,4062.5642089844,4031.1538085938,3988.58984375,4088.58984375,4049.2307128906,4050.6411132813,33025,0.0,0.0,1.0,1.0
14.3046875,57,4104.3588867188,4134.7436523438,4112.5639648438,4135.1284179688,4092.6923828125,4097.0512695313,4045.5129394531,4072.5642089844,4061.794921875,4027.9487304688,3987.6923828125,4089.1025390625,4049.6154785156,4039.1025390625,33025,0.0,0.0,1.0,1.0
14.3125,57,4105.1284179688,4128.58984375,4104.7436523438,4136.6665039063,4088.7180175781,4089.4870605469,4039.1025390625,4074.7436523438,4068.9743652344,4037.6923828125,3998.58984375,4088.4614257813,4062.0512695313,4045.3845214844,33025,0.0,0.0,1.0,1.0
14.3203125,57,4108.3334960938,4121.1538085938,4106.2822265625,4138.8461914063,4075.5129394531,4090.3845214844,4045.1281738281,4073.4614257813,4071.6667480469,4041.5385742188,4010.2563476563,4106.0258789063,4065.7692871094,4058.4614257813,33025,0.0,0.0,1.0,1.0
14.328125,57,4106.0258789063,4125.7690429688,4119.3588867188,4138.58984375,4078.8461914063,4094.2307128906,4056.2819824219,4072.9487304688,4073.205078125,4042.4357910156,4022.3076171875,4142.9487304688,4065.7692871094,4059.7436523438,33025,0.0,0.0,1.0,1.0
14.3359375,57,4106.0258789063,4122.5639648438,4117.5639648438,4133.7177734375,4089.7436523438,4096.41015625,4065.0,4078.205078125,4081.9230957031,4052.5642089844,4037.1794433594,4172.4360351563,4077.0512695313,4060.6411132813,33025,0.0,0.0,1.0,1.0
14.34375,57,4114.4873046875,4118.58984375,4110.1284179688,4131.9228515625,4079.8718261719,4097.8203125,4074.1025390625,4091.794921875,4096.0258789063,4063.3332519531,4051.794921875,4178.58984375,4090.0,4072.5642089844,33025,0.0,0.0,1.0,2.0
14.3515625,57,4122.1796875,4124.3588867188,4116.41015625,4135.2563476563,4069.4870605469,4096.5385742188,4079.3588867188,4107.5639648438,4108.0771484375,4071.0256347656,4067.5642089844,4165.6411132813,4100.2563476563,4077.6923828125,33025,0.0,0.0,1.0,2.0
14.359375,57,4127.8203125,4127.4360351563,4124.4873046875,4136.794921875,4076.0256347656,4093.7180175781,4075.6411132813,4112.0512695313,4108.7177734375,4072.0512695313,4078.4614257813,4149.615234375,4106.9228515625,4081.794921875,33025,0.0,0.0,1.0,2.0
14.3671875,57,4131.9228515625,4127.6923828125,4126.0258789063,4138.205078125,4077.9487304688,4093.3332519531,4073.3332519531,4108.58984375,4099.4873046875,4064.3588867188,4072.5642089844,4149.7436523438,4100.6411132813,4093.8461914063,33025,0.0,0.0,1.0,2.0
14.375,57,4122.5639648438,4119.7436523438,4116.2822265625,4133.3334960938,4082.4357910156,4096.0258789063,4070.8974609375,4103.205078125,4092.9487304688,4054.1025390625,4050.7692871094,4145.384765625,4083.4614257813,4082.4357910156,33025,0.0,0.0,1.0,2.0
14.3828125,57,4105.5126953125,4103.205078125,4096.5385742188,4115.8974609375,4090.6411132813,4097.0512695313,4065.7692871094,4092.6923828125,4088.205078125,4043.4614257813,4028.0769042969,4120.7690429688,4068.8461914063,4051.0256347656,33025,0.0,0.0,1.0,2.0
14.390625,57,4100.5126953125,4099.8715820313,4089.3588867188,4113.7177734375,4086.6667480469,4097.1796875,4066.9230957031,4079.4870605469,4079.3588867188,4035.6411132813,4017.9487304688,4117.6923828125,4064.7436523438,4042.5642089844,33025,0.0,0.0,1.0,2.0
14.3984375,57,4110.1284179688,4109.1025390625,4099.615234375,4131.2822265625,4086.41015625,4096.0258789063,4067.5642089844,4079.1025390625,4077.5642089844,4044.8718261719,4024.1025390625,4147.1796875,4068.8461914063,4053.3332519531,33025,0.0,0.0,1.0,2.0
14.40625,57,4118.205078125,4111.9228515625,4104.1025390625,4132.9487304688,4091.9230957031,4093.58984375,4066.794921875,4097.6923828125,4096.0258789063,4064.6154785156,4041.2819824219,4173.7177734375,4080.5129394531,4061.2819824219,33025,0.0,0.0,1.0,2.0
14.4140625,57,4120.8974609375,4106.41015625,4106.41015625,4124.615234375,4091.794921875,4099.2309570313,4074.3588867188,4116.9228515625,4117.9487304688,4079.3588867188,4063.7180175781,4188.7177734375,4097.4360351563,4070.5129394531,33025,0.0,0.0,1.0,2.0
14.421875,57,4119.615234375,4103.9741210938,4113.205078125,4123.9741210938,4089.6154785156,4105.384765625,4078.0769042969,4122.1796875,4122.8203125,4090.2563476563,4084.7436523438,4203.0771484375,4108.3334960938,4077.0512695313,33025,0.0,0.0,1.0,2.0
14.4296875,57,4118.9741210938,4106.9228515625,4110.0,4122.9487304688,4084.7436523438,4105.384765625,4075.2563476563,4120.7690429688,4121.41015625,4093.7180175781,4096.2822265625,4211.794921875,4111.2822265625,4077.6923828125,33025,0.0,0.0,1.0,2.0
14.4375,57,4125.6411132813,4111.6665039063,4106.1538085938,4122.9487304688,4080.2563476563,4104.4873046875,4079.4870605469,4125.7690429688,4128.58984375,4095.7692871094,4100.6411132813,4210.5126953125,4115.7690429688,4083.58984375,33025,0.0,0.0,1.0,2.0
14.4453125,57,4125.6411132813,4110.0,4109.7436523438,4125.2563476563,4083.9743652344,4103.3334960938,4084.2307128906,4126.41015625,4129.3588867188,4096.2822265625,4098.0771484375,4203.4614257813,4117.8203125,4086.0256347656,33025,0.0,0.0,1.0,2.0
14.453125,57,4113.8461914063,4100.1284179688,4104.3588867188,4121.5385742188,4088.58984375,4098.4614257813,4074.7436523438,4107.0512695313,4109.4873046875,4081.41015625,4080.5129394531,4184.3588867188,4101.794921875,4072.1794433594,33025,0.0,0.0,1.0,2.0
14.4609375,57,4110.384765625,4099.1025390625,4097.5639648438,4118.4614257813,4078.8461914063,4090.8974609375,4060.5129394531,4084.2307128906,4087.1794433594,4062.8205566406,4057.6923828125,4164.1025390625,4081.794921875,4058.9743652344,33025,0.0,0.0,1.0,2.0
14.46875,57,4116.2822265625,4108.8461914063,4094.3588867188,4121.6665039063,4074.2307128906,4089.6154785156,4057.0512695313,4078.8461914063,4082.3076171875,4057.4357910156,4049.4870605469,4166.9228515625,4076.2819824219,4060.5129394531,33025,0.0,0.0,1.0,2.0
14.4765625,57,4119.1025390625,4110.7690429688,4096.794921875,4123.7177734375,4088.205078125,4093.0769042969,4062.4357910156,4083.0769042969,4083.58984375,4057.0512695313,4051.6667480469,4172.3076171875,4077.4357910156,4067.5642089844,33025,0.0,0.0,1.0,2.0
14.484375,57,4119.2309570313,4107.3076171875,4110.6411132813,4124.1025390625,4100.6411132813,4099.615234375,4071.1538085938,4092.0512695313,4088.205078125,4060.1281738281,4058.3332519531,4151.6665039063,4083.8461914063,4078.58984375,33025,0.0,0.0,1.0,2.0
14.4921875,57,4126.0258789063,4109.7436523438,4114.1025390625,4127.4360351563,4097.4360351563,4102.6923828125,4076.5385742188,4108.4614257813,4102.0512695313,4074.2307128906,4077.0512695313,4134.4873046875,4099.4873046875,4094.7436523438,33025,0.0,0.0,1.0,2.0
14.5,58,4128.7177734375,4107.6923828125,4106.1538085938,4128.3334960938,4089.6154785156,4100.0,4074.4870605469,4116.5385742188,4112.8203125,4083.9743652344,4090.7692871094,4135.6411132813,4105.0,4100.0,33025,0.0,0.0,1.0,2.0
14.5078125,58,4120.8974609375,4096.9228515625,4106.6665039063,4121.41015625,4092.6923828125,4103.4614257813,4080.1281738281,4111.6665039063,4117.8203125,4085.5129394531,4083.58984375,4125.2563476563,4097.9487304688,4091.41015625,33025,0.0,0.0,1.0,2.0
14.515625,58,4120.0,4089.6154785156,4113.58984375,4116.6665039063,4091.794921875,4109.2309570313,4089.2307128906,4113.3334960938,4124.7436523438,4089.4870605469,4080.5129394531,4118.3334960938,4100.7690429688,4093.8461914063,33025,0.0,0.0,1.0,2.0
14.5234375,58,4126.9228515625,4090.6411132813,4112.6923828125,4120.384765625,4077.3076171875,4106.1538085938,4083.3332519531,4113.0771484375,4120.0,4087.5642089844,4089.3588867188,4144.615234375,4108.205078125,4110.6411132813,33025,0.0,0.0,1.0,2.0
14.53125,58,4122.1796875,4095.3845214844,4104.615234375,4123.3334960938,4072.1794433594,4105.1284179688,4077.1794433594,4096.41015625,4099.8715820313,4076.6667480469,4084.3588867188,4159.8715820313,4096.794921875,4113.3334960938,33025,0.0,0.0,1.0,2.0
14.5390625,58,4113.7177734375,4094.6154785156,4099.8715820313,4119.615234375,4079.8718261719,4105.384765625,4076.9230957031,4082.9487304688,4087.3076171875,4071.41015625,4070.2563476563,4141.1538085938,4085.6411132813,4095.6411132813,33025,0.0,0.0,1.0,2.0
14.546875,58,4116.41015625,4091.6667480469,4103.0771484375,4119.3588867188,4082.6923828125,4096.0258789063,4070.2563476563,4088.8461914063,4091.0256347656,4074.7436523438,4078.58984375,4140.384765625,4091.6667480469,4088.205078125,33025,0.0,0.0,1.0,2.0
14.5546875,58,4122.5639648438,4092.5642089844,4105.8974609375,4123.0771484375,4078.58984375,4090.2563476563,4067.3076171875,4095.5129394531,4091.794921875,4075.5129394531,4092.1794433594,4158.8461914063,4095.2563476563,4100.6411132813,33025,0.0,0.0,1.0,2.0
14.5625,58,4121.9228515625,4095.2563476563,4098.3334960938,4121.1538085938,4077.3076171875,4093.205078125,4068.8461914063,4090.0,4085.3845214844,4074.3588867188,4083.9743652344,4152.4360351563,4091.6667480469,4107.3076171875,33025,0.0,0.0,1.0,2.0
14.5703125,58,4117.8203125,4100.0,4098.205078125,4118.4614257813,4075.8974609375,4090.5129394531,4065.6411132813,4092.4357910156,4086.2819824219,4075.6411132813,4079.3588867188,4142.3076171875,4091.6667480469,4105.0,33025,0.0,0.0,1.0,2.0
14.578125,58,4119.3588867188,4105.1284179688,4111.6665039063,4121.0258789063,4083.7180175781,4089.3588867188,4066.0256347656,4102.9487304688,4092.8205566406,4076.6667480469,4090.8974609375,4163.3334960938,4092.5642089844,4108.8461914063,33025,0.0,0.0,1.0,2.0
14.5859375,58,4118.8461914063,4103.3334960938,4111.41015625,4118.9741210938,4092.5642089844,4092.3076171875,4069.6154785156,4102.3076171875,4092.5642089844,4077.0512695313,4093.0769042969,4184.615234375,4092.5642089844,4115.6411132813,33025,0.0,0.0,1.0,2.0
14.59375,58,4114.3588867188,4093.3332519531,4096.41015625,4107.1796875,4080.0,4088.9743652344,4067.4357910156,4092.9487304688,4090.3845214844,4073.7180175781,4080.3845214844,4177.0512695313,4092.5642089844,4114.615234375,33025,0.0,0.0,1.0,3.0
14.6015625,58,4111.5385742188,4090.5129394531,4089.8718261719,4104.3588867188,4068.9743652344,4089.2307128906,4066.41015625,4088.7180175781,4090.2563476563,4070.1281738281,4074.1025390625,4155.8974609375,4090.2563476563,4107.5639648438,33025,0.0,0.0,1.0,3.0
14.609375,58,4103.3334960938,4092.5642089844,4094.6154785156,4111.6665039063,4080.3845214844,4092.5642089844,4064.8718261719,4090.0,4087.5642089844,4073.4614257813,4075.5129394531,4141.6665039063,4088.4614257813,4102.6923828125,33025,0.0,0.0,1.0,3.0
14.6171875,58,4097.1796875,4087.0512695313,4095.3845214844,4109.7436523438,4088.9743652344,4090.1281738281,4063.8461914063,4089.2307128906,4092.0512695313,4079.3588867188,4077.1794433594,4138.8461914063,4091.1538085938,4101.6665039063,33025,0.0,0.0,1.0,3.0
14.625,58,4100.6411132813,4084.3588867188,4092.3076171875,4105.6411132813,4084.8718261719,4090.6411132813,4068.4614257813,4094.4870605469,4102.0512695313,4079.4870605469,4077.1794433594,4142.1796875,4092.3076171875,4103.9741210938,33025,0.0,0.0,1.0,3.0
14.6328125,58,4106.0258789063,4088.58984375,4090.1281738281,4105.1284179688,4078.4614257813,4091.1538085938,4067.4357910156,4103.4614257813,4100.2563476563,4077.4357910156,4073.9743652344,4143.205078125,4088.9743652344,4106.6665039063,33025,0.0,0.0,1.0,3.0
14.640625,58,4108.205078125,4089.6154785156,4089.2307128906,4098.58984375,4077.3076171875,4089.7436523438,4067.3076171875,4106.2822265625,4097.6923828125,4081.1538085938,4075.7692871094,4139.615234375,4089.8718261719,4106.1538085938,33025,0.0,0.0,1.0,3.0
